texte,niveau,category,classification,risk_decision,origin,year,month,maroc_relevant
"Salmonella spp. in sesame seeds from Nigeria | nuts, nut products and seeds | Salmonella   - {pathogenic micro-organisms} | Nigeria",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,Nigeria,2026,5,1
"Cadmium in frozen spinach from Belgium | fruits and vegetables | cadmium   - {heavy metals} | Belgium,Bosnia and Herzegovina,Finland",CRITIQUE,fruits and vegetables,alert notification,serious,"Belgium,Bosnia and Herzegovina,Finland",2024,10,1
"Maximum levels exceeded for ragweed (Ambrosia spp.) seeds and datura seeds in sunflower seeds from France | feed materials | ragweed (Ambrosia spp.) seeds - too high content of   - {composition},thorn-apple (Datura stramonium L) seeds too high content - {natural toxins (other)} | Belgium,France",CRITIQUE,feed materials,alert notification,serious,"Belgium,France",2024,10,0
"Ochratoxin A in grounded sandalwood, from Cameroon | herbs and spices | ochratoxin A   - {mycotoxins} | Cameroon",CRITIQUE,herbs and spices,alert notification,serious,Cameroon,2024,10,1
"aflatoxin in dried figs from Türkiye | fruits and vegetables | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Türkiye",CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2024,10,1
"Pyrrolizidine alkaloids in food supplement from India | dietetic foods, food supplements and fortified foods | pyrrolizidine alkaloids   - {natural toxins (other)} | India",CRITIQUE,"dietetic foods, food supplements and fortified foods",information notification for attention,serious,India,2024,10,1
"Chlorpyrifos in dried ground cinnamon from Indonesia and United Arab Emirates | herbs and spices | chlorpyrifos  unauthorised substance - {pesticide residues} | Indonesia,Italy,United Arab Emirates",CRITIQUE,herbs and spices,alert notification,potentially serious,"Indonesia,Italy,United Arab Emirates",2024,10,1
No declared sulfur and non compliance declaration of other additives | fruits and vegetables | E220- sulfur dioxide  undeclared - {allergens} | China,CRITIQUE,fruits and vegetables,alert notification,potentially serious,China,2024,10,1
"Unauthorised novel food, betel nut from India, via UK | nuts, nut products and seeds |  | India",ATTENTION,"nuts, nut products and seeds",information notification for attention,potentially serious,India,2024,10,1
"Aflatoxin B1 and total in Groundnuts from Argentina | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Argentina",CRITIQUE,"nuts, nut products and seeds",information notification for attention,serious,Argentina,2024,10,1
Pesticide residues in raisins from Chile | fruits and vegetables | phosmet  unauthorised substance | Chile,CRITIQUE,fruits and vegetables,alert notification,serious,Chile,2024,10,1
"Aflatoxins in U.S.A. peanuts | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | United States",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,United States,2024,10,1
Incorrect labelling of duck parmentier preparation versus codfish parmentier (inversion of respective labels). | other food product / mixed |  | France,CRITIQUE,other food product / mixed,alert notification,serious,France,2024,10,0
"Multiple pesticide residues in rice from Pakistan | cereals and bakery products | imidacloprid   - {pesticide residues},thiamethoxam   - {pesticide residues},triazophos   - {pesticide residues} | Pakistan",CRITIQUE,cereals and bakery products,border rejection notification,potentially serious,Pakistan,2024,10,1
"Consignment of bouillon (Pho Ga and Pho Bo) from Vietnam via Netherlands is illegally imported  | soups, broths, sauces and condiments |  | Vietnam",ATTENTION,"soups, broths, sauces and condiments",information notification for follow-up,potential risk,Vietnam,2024,10,0
Arsenic in frozen cod loin from China | fish and fish products | arsenic   - {heavy metals} | China,ATTENTION,fish and fish products,information notification for attention,potentially serious,China,2024,10,1
"Too high zinc content (30 mg/daily dosage) in food supplement from Germany | dietetic foods, food supplements and fortified foods | zinc  too high content - {composition} | Germany",ATTENTION,"dietetic foods, food supplements and fortified foods",information notification for follow-up,potentially serious,Germany,2024,10,1
Ergot sclerotia in wheat from France | cereals and bakery products | rye ergot (Claviceps purpurea)   - {natural toxins (other)} | France,CRITIQUE,cereals and bakery products,alert notification,potentially serious,France,2024,10,1
"Migration of primary aromatic amines 4,4-diaminofenylmethaan from kitchenware from China  | food contact materials | primary aromatic amines  migration - {migration} | China",CRITIQUE,food contact materials,border rejection notification,serious,China,2024,10,0
Salmonella Agona in carne di tacchino congelata/Salmonella Agona in frozen turkey meat | poultry meat and poultry meat products | Salmonella  Agona - {pathogenic micro-organisms} | Poland,ATTENTION,poultry meat and poultry meat products,information notification for follow-up,potential risk,Poland,2024,10,0
Pesticides residues in beans from India | fruits and vegetables | chlorpyrifos  unauthorised substance - {pesticide residues} | India,CRITIQUE,fruits and vegetables,border rejection notification,serious,India,2024,10,1
Pesticide residues (acetamipirid) in table grapes from Türkiye | fruits and vegetables | acetamiprid   - {pesticide residues} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2024,10,1
"Salmonella Montevideo in rapeseed cake from Romania | feed materials | Salmonella Montevideo  - {pathogenic micro-organisms},Salmonella spp   - {pathogenic micro-organisms} | Romania",ATTENTION,feed materials,information notification for follow-up,potential risk,Romania,2024,10,0
"Incorrectly declared allergens (fish and crustaceans) on pickle products | soups, broths, sauces and condiments |  | India",ATTENTION,"soups, broths, sauces and condiments",information notification for follow-up,potentially serious,India,2024,10,0
Oxymatrine in liquorice powder from Germany | feed materials | oxymatrine   - {pesticide residues} | Germany,CRITIQUE,feed materials,alert notification,serious,Germany,2024,10,0
Toxinas lipofílicas en berberechos (Cerestoderma edule) procedentes de Portugal  // Lipophilic toxins in cockles (Cerestoderma edule) from Portugal | bivalve molluscs and products thereof | Diarrhoeic Shellfish Poisoning (DSP) toxins okadaic acid  - {natural toxins (other)} | Portugal,CRITIQUE,bivalve molluscs and products thereof,alert notification,serious,Portugal,2024,10,0
Aflatoxina B1 en maíz /// Aflatoxin B1 in corn | feed materials | Aflatoxin B1   - {mycotoxins} | France,ATTENTION,feed materials,information notification for follow-up,potential risk,France,2024,10,0
"fenpropathrin, pyriproxyfen and lambda-cyhalothrin in fresh pomegranate from Türkiye | fruits and vegetables | fenpropathrin   - {pesticide residues},lambda-cyhalothrin   - {pesticide residues},pyriproxyfen    - {pesticide residues} | Türkiye",CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2024,10,1
Detection of Listeria monocytogenes in raw milk cheese | milk and milk products | Listeria monocytogenes  - {pathogenic micro-organisms} | France,CRITIQUE,milk and milk products,alert notification,serious,France,2024,10,0
Allergens milk and soy not declared in poultry meat | poultry meat and poultry meat products |  | Thailand,CRITIQUE,poultry meat and poultry meat products,alert notification,serious,Thailand,2024,10,0
"Ashwagandha in food supplements  | dietetic foods, food supplements and fortified foods |  | Sweden",ATTENTION,"dietetic foods, food supplements and fortified foods",information notification for follow-up,potential risk,Sweden,2024,10,1
Chlorpyrifos in mangoes from Egypt | fruits and vegetables | chlorpyrifos   - {pesticide residues} | Egypt,ATTENTION,fruits and vegetables,information notification for attention,potentially serious,Egypt,2024,10,1
"Exceeding the Upper Limit (UL) of 12 mg per day for adults for vitamin B6 in food supplements from UK | dietetic foods, food supplements and fortified foods |  | unknown origin",CRITIQUE,"dietetic foods, food supplements and fortified foods",alert notification,potentially serious,unknown origin,2024,10,1
Salmonella spp. in frozen basil from Italy | herbs and spices | Salmonella spp.  - {pathogenic micro-organisms} | Italy,CRITIQUE,herbs and spices,alert notification,serious,Italy,2024,10,1
detection of sulphites above the threshold in whole frozen prawns | crustaceans and products thereof | sulphite  too high content - {food additives and flavourings} | Ecuador,INFO,crustaceans and products thereof,information notification for attention,not serious,Ecuador,2024,10,0
multi drug resistant Salmonella Infantis in chilled chicken fillets from the Netherlands | poultry meat and poultry meat products | Salmonella infantis  - {pathogenic micro-organisms} | Netherlands,INFO,poultry meat and poultry meat products,information notification for attention,not serious,Netherlands,2024,10,0
"Aflatoxin B1 in almonds from Australia | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins} | Australia",CRITIQUE,"nuts, nut products and seeds",information notification for attention,serious,Australia,2024,10,1
Detection of Salmonella Enteritidis in Free Range Chicken Wings | poultry meat and poultry meat products | Salmonella Enteritidis  - {pathogenic micro-organisms} | France,CRITIQUE,poultry meat and poultry meat products,alert notification,serious,France,2024,10,0
Fermentation in yoghurt from the Netherlands | milk and milk products |  | Netherlands,ATTENTION,milk and milk products,information notification for attention,potentially serious,Netherlands,2024,10,0
cadmium in a consignment of Squid (Dosidicus gigas) from Ecuador | cephalopods and products thereof | cadmium   - {heavy metals} | Ecuador,CRITIQUE,cephalopods and products thereof,border rejection notification,serious,Ecuador,2024,10,0
Colour migration from bamboo cups from China  | food contact materials | migration colour  - {migration} | China,ATTENTION,food contact materials,information notification for attention,potential risk,China,2024,10,0
Undeclared/mislabelled allergens in marinated mushrooms from Poland | fruits and vegetables |  | Poland,ATTENTION,fruits and vegetables,information notification for follow-up,potential risk,Poland,2024,10,1
Detection of salmonella in noodles | other food product / mixed | Salmonella   - {pathogenic micro-organisms} | France,CRITIQUE,other food product / mixed,alert notification,serious,France,2024,10,0
Absence of official certificate and sampling analysis report for sauces and spices from India | herbs and spices |  | India,CRITIQUE,herbs and spices,border rejection notification,potential risk,India,2024,10,1
bad smelling dates from Pakistan via Latvia | fruits and vegetables |  | Pakistan,ATTENTION,fruits and vegetables,information notification for follow-up,potential risk,Pakistan,2024,10,1
"Excessive content of beta-alanine in food supplement from the United States via Poland | dietetic foods, food supplements and fortified foods | beta-alanine  unauthorised - {composition} | United States",INFO,"dietetic foods, food supplements and fortified foods",information notification for follow-up,not serious,United States,2024,10,1
Pyrrolizidine alkaloids in black cumin from Türkiye | herbs and spices | pyrrolizidine alkaloids   - {natural toxins (other)} | Türkiye,CRITIQUE,herbs and spices,border rejection notification,serious,Türkiye,2024,10,1
"Too high mercury content in food supplements from India | dietetic foods, food supplements and fortified foods | lead   - {heavy metals},mercury   - {heavy metals} | India",CRITIQUE,"dietetic foods, food supplements and fortified foods",information notification for attention,serious,India,2024,10,1
